Band,Song,Guitarist,Technique,POPULARITY,RELEASE_DATE,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Singer,Bassist,Drummer,Pianist,Drums_Energy_Level,Piano_Energy_Level,Bass_Energy_Level,Drums_BPM_Level,Piano_BPM_Level,Bass_BPM_Level,Relevance_Drums,Relevance_Bass,Relevance_Piano,Instruments_Difficulty
Avalanch,Pelayo,,['Electric Guitar (clean)'],27,1999,0.181,0.901,-6.774,0.122,0.00331,0.000418,0.112,0.252,195.075,436867,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Black Rebel Motorcycle Club,Let The Day Begin,,['Electric Guitar (jazz)'],30,2013,0.476,0.781,-8.01,0.0516,0.000181,0.581,0.108,0.637,123.015,246787,,,,,Low,Low,Low,Medium,Low,Medium,3.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Circa Survive,Always Getting What You Want,,['Distortion Guitar 6'],31,2005,0.373,0.858,-6.543,0.051,0.00159,0.0,0.122,0.276,147.882,241440,,,,,Low,Low,Low,Medium,Low,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Firehouse,Don't Treat Me Bad,,['Overdriven Guitar 2'],57,1990,0.616,0.807,-11.4,0.0348,0.000303,2.37e-05,0.193,0.637,111.054,235360,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Reuben,Freddy Kreuger,,['Distortion Guitar'],36,2004,0.485,0.937,-5.088,0.0807,4.4e-05,6.01e-05,0.127,0.531,146.157,148827,,,,,Low,Low,Low,High,Low,Medium,2.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Propagandhi,Failed States,,['Distortion Guitar'],24,2012,0.189,0.982,-4.188,0.174,1.39e-05,0.00128,0.341,0.468,164.613,114040,,,,,Low,Low,Low,High,Low,Medium,3.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Motorhead,Don't Need Religion,['Track 2'],['Distortion Guitar'],25,1982,0.53,0.838,-6.518,0.0333,0.000202,0.0476,0.299,0.572,132.473,160240,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Medium,Low,Low,Medium,High,High,4.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Advanced', 'bass_Advanced']"
Motorhead,Devil I Know,"['EddieClarke(1950-2018)', 'PhilCampbell', 'BrianRobertson']",['Distortion Guitar'],29,2006,0.428,0.992,-3.138,0.0807,0.00158,0.0594,0.137,0.516,152.052,180987,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Low,Medium,Medium,2.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,Ramones,['Lemmy'],['Distortion Guitar'],44,1991,0.386,0.959,-6.317,0.0414,0.138,0.0126,0.547,0.665,118.154,85867,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,Medium,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,Kingdom Of The Worm,['Lemmy'],['Overdriven Guitar'],22,2006,0.467,0.996,-4.148,0.114,0.000574,0.0343,0.295,0.0483,130.992,248747,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,High,Medium,1.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
Motorhead,Shoot You In The Back,"['EddieClarke(1950-2018)', 'PhilCampbell', 'BrianRobertson']",['Distortion Guitar'],40,1980,0.308,0.974,-4.207,0.078,0.0282,0.0697,0.283,0.214,126.199,158747,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,Medium,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,Bite The Bullet,"['EddieClarke(1950-2018)', 'PhilCampbell', 'BrianRobertson']",['Distortion Guitar'],33,1980,0.404,0.865,-8.629,0.072,0.00478,0.000544,0.403,0.262,126.643,97947,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,Low,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Motorhead,Dead And Gone,['Lemmy'],['Overdriven Guitar'],25,1998,0.537,0.718,-5.477,0.0322,0.761,0.000191,0.0771,0.612,102.642,258973,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,Medium,Medium,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,Claw,['Track 2'],['Distortion Guitar'],24,1986,0.319,0.995,-5.768,0.0996,0.0239,1.27e-05,0.0952,0.0672,136.583,211947,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,High,Low,Medium,1.0,0.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Freedom Call,High Enough,,['Acoustic Guitar (steel)'],10,2005,0.157,0.965,-4.762,0.187,0.0377,1.83e-05,0.108,0.0585,168.474,351627,,,,,Low,Low,Low,High,Low,Medium,3.0,1.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Freedom Call,Metal Invasion,,['Acoustic Guitar (steel)'],25,2015,0.155,0.948,-4.346,0.105,6.8e-05,0.00056,0.122,0.233,167.73,409013,,,,,Low,Low,Low,High,Medium,Medium,3.0,2.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Gamma Ray,Heavy Metal Universe,,['Acoustic Guitar (steel)'],22,2008,0.314,0.889,-9.886,0.0416,0.00118,0.000246,0.412,0.537,166.277,627093,,,,,Low,Low,Low,Low,High,Medium,1.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
Gamma Ray,One With The World,,['Acoustic Guitar (steel)'],5,2015,0.527,0.972,-4.405,0.0778,0.00331,0.00119,0.275,0.507,95.91,287040,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Black Label Society,We Live No More,,['Acoustic Guitar (nylon)'],38,2003,0.592,0.697,-5.315,0.109,0.0123,0.000158,0.0406,0.667,145.465,241947,,,,,Medium,Low,Low,Medium,Low,Medium,6.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Extreme,Comfortably Dumb,[' [octaver sound'],['Overdriven Guitar'],26,2008,0.394,0.929,-5.592,0.0504,0.00023,0.0573,0.0619,0.635,177.988,284480,,,,,Low,Low,Low,Medium,Medium,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
In Arkadia,Somber Light,,['Acoustic Guitar (nylon)'],0,2017,0.358,0.911,-4.435,0.0461,1.83e-06,0.00258,0.633,0.387,95.023,296620,,,,,Low,Low,Medium,Medium,Medium,Medium,2.0,5.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Runaway,['Jerry Only'],['Overdriven Guitar'],28,2003,0.327,0.937,-7.996,0.0535,0.00508,0.702,0.143,0.454,157.634,144080,,,,,Low,Low,Low,Low,Medium,Medium,1.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Old Man's Child,My Kingdom Will Come,,['Acoustic Guitar (nylon)'],17,1997,0.316,0.842,-6.589,0.0391,7.75e-06,0.63,0.0877,0.186,76.325,275800,,,,,Low,Low,Low,Low,High,Medium,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
Ministry,Lava,,['Distortion Guitar'],31,1996,0.441,0.828,-5.855,0.0293,0.000132,0.763,0.0875,0.329,184.474,390200,,,,,Low,Low,Low,Low,Medium,Medium,4.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Hunting Humans,,['Distortion Guitar'],38,1999,0.434,0.992,-4.611,0.123,1.7e-05,0.133,0.11,0.169,113.499,126154,,,,,Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Reuben,Agony Agatha,,['Distortion Guitar'],14,2017,0.631,0.851,-3.942,0.0328,0.000346,1.4e-06,0.0293,0.69,137.001,176880,,,,,Medium,Low,Low,Medium,Medium,Medium,4.0,3.0,3.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Warmachine,What A Pretty Picture,,['Electric Guitar (clean)'],0,2001,0.432,0.833,-5.941,0.0353,0.000471,0.03,0.0996,0.488,157.914,321541,,,,,Low,Low,Low,Low,Low,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Relient K,Who I Am Hates Who I've Been,['MattHoopes'],['Acoustic Guitar (nylon)'],55,2004,0.397,0.902,-3.518,0.086,0.00285,0.0,0.066,0.491,166.827,232267,['MattThiessen'],[],[],[],Medium,Low,Low,Low,Medium,Medium,4.0,1.0,1.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Dark Tranquillity,The Mind's Eye,,"['Acoustic Guitar (nylon)', 'BackGuitar']",27,1997,0.573,0.487,-11.717,0.0246,0.0917,0.777,0.0712,0.644,97.488,191320,,,,,Low,Low,Low,Low,Medium,Medium,2.0,1.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,I Don't Believe A Word,"['EddieClarke(1950-2018)', 'PhilCampbell', 'BrianRobertson']",['Overdriven Guitar'],40,1996,0.599,0.89,-5.931,0.0373,0.0627,0.00731,0.0835,0.615,106.723,391693,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,Medium,Low,2.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Beginner']"
Motorhead,Hellraiser,['Lemmy'],['Overdriven Guitar'],53,1992,0.538,0.835,-7.637,0.0265,3.24e-05,2.7e-06,0.219,0.667,97.958,275160,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Low,High,Medium,0.0,0.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Advanced', 'bass_Intermidiate']"
St. Vincent,Now Now,,['Overdriven Guitar'],31,2007,0.48,0.78,-8.198,0.123,0.636,0.0201,0.0915,0.445,159.075,265427,,,,,Low,Low,Low,High,Medium,High,2.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Advanced']"
Metallica,One,['KirkHammett'],['Acoustic Guitar (nylon)'],71,1988,0.438,0.687,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,446146,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,Medium,Medium,Low,4.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Stone Sour,Hesitate,['Shawn Economaki'],['Acoustic Guitar (steel)'],49,2010,0.448,0.805,-4.194,0.0365,0.000946,6.12e-05,0.134,0.201,125.998,256347,['CoreyTaylor'],['RoyMayorga'],[],[],Low,Low,Low,Medium,Medium,Medium,4.0,2.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,Rock Out,['Lemmy'],['Distortion Guitar'],50,2008,0.441,0.989,-5.327,0.175,0.00306,0.00131,0.0281,0.314,142.981,126733,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,High,Medium,Medium,2.0,0.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rage Against The Machine,Bulls On Parade,['Tim Commerford'],['Distortion Guitar'],75,1996,0.412,0.919,-7.291,0.184,0.0124,0.0601,0.424,0.572,166.367,229467,['ZackdelaRocha'],['TimCommerford'],['BradWilk'],[],Low,Low,Low,Medium,Medium,Medium,3.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Thulio Muniz,Unfamiliar Ceiling,,['Electric Guitar (clean)'],0,2020,0.449,0.928,-4.092,0.0422,0.000116,0.814,0.138,0.479,159.997,354000,,,,,Medium,Low,Low,Medium,Medium,Medium,5.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,Ace Of Spades,['Disortion Effect'],['Distortion Guitar'],74,1980,0.342,0.91,-7.748,0.0758,4.02e-05,0.000121,0.0823,0.547,140.452,166360,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,High,Medium,Medium,1.0,1.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Metallica,Cure,['Jason Newsted'],['Acoustic Guitar (steel)'],39,1996,0.609,0.846,-5.43,0.0276,2e-05,0.000909,0.0574,0.778,115.274,294200,"['JamesHetfield', 'DaveMustaine']","['CliffBurton(1962-1986)', 'RobertTrujillo', 'JasonNewsted', 'RonMcGovney']",['LarsUlrich'],[],Low,Low,Low,Medium,Medium,Medium,2.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Venom,Witching Hour,,['Overdriven Guitar'],36,1981,0.131,0.916,-10.552,0.0761,0.00276,0.286,0.173,0.0349,145.95,220027,,,,,Low,Low,Low,High,High,High,0.0,0.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Advanced']"
Mayhem,Witching Hour,"['VargVikernes', 'MortenBergetonIversen']",['Overdriven Guitar'],38,1993,0.167,0.824,-9.209,0.0847,6.97e-06,0.876,0.0409,0.0779,116.817,109587,"['PerOhlin(1969-1991)', 'AttilaCsihar']",['Necrobutcher'],[],[],Low,Low,Low,Medium,Medium,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Morbid Angel,Nevermore,,['Overdriven Guitar'],19,2011,0.546,0.897,-5.875,0.0786,1.31e-05,0.00668,0.629,0.244,116.957,307840,,,,,Low,Low,Low,Low,Medium,Medium,4.0,2.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Scarecrow Man,,['Distortion Guitar'],39,1999,0.403,0.959,-5.504,0.122,9.26e-05,0.0165,0.0715,0.194,117.751,190427,,,,,Low,Low,Low,Medium,High,Medium,1.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Misfits,Crawling Eye,['Jerry Only'],['Distortion Guitar'],39,1999,0.423,0.982,-4.736,0.15,0.000569,1.13e-05,0.135,0.124,113.543,142755,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Fiend Club,,['Distortion Guitar'],40,1999,0.455,0.919,-5.143,0.0533,0.000193,2.18e-06,0.678,0.457,141.102,172368,,,,,Low,Low,Low,High,Medium,Medium,3.0,3.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Saturday Night,['Jerry Only'],['Distortion Guitar'],58,1999,0.455,0.909,-5.266,0.0829,0.000229,0.0,0.0934,0.262,129.801,208103,,,,,Low,Low,Low,Low,Medium,Medium,1.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Lost In Space,['Jerry Only'],['Overdriven Guitar'],41,1999,0.361,0.985,-4.44,0.126,0.000285,5.52e-05,0.26,0.237,143.14,148069,,,,,Low,Low,Low,High,Medium,Medium,1.0,2.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Misfits,Witch Hunt,['Jerry Only'],['Distortion Guitar'],38,1999,0.321,0.986,-5.732,0.0735,0.00412,0.586,0.202,0.294,195.771,91800,,,,,Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Motorhead,We Are The Road Crew,['Lemmy Kilmister'],['Overdriven Guitar'],13,1980,0.306,0.985,-5.624,0.0762,0.128,0.00349,0.456,0.0405,134.049,190840,['LemmyKilmister(1945-2015)'],"['MikkeyDee', 'PeteGill']",[],[],Low,Low,Low,Medium,Medium,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Led Zeppelin,Friends,['JimmyPage'],['Acoustic Guitar (steel)'],52,1970,0.257,0.452,-12.365,0.0349,0.744,0.0996,0.38,0.271,83.553,233901,['RobertPlant'],['JohnPaulJones'],['JohnBonham(1948-1980)'],[],Low,Low,Low,High,Medium,Medium,0.0,1.0,1.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Luka Bloom,First Light Of Spring,['Spur 1'],['Acoustic Guitar (nylon)'],7,2004,0.541,0.0959,-19.023,0.0386,0.883,0.00644,0.156,0.174,122.538,183187,,,,,Low,Low,Low,High,Medium,Low,0.0,7.0,0.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Fozzy,Enemy,['Traccia 3'],['Distortion Guitar'],40,2005,0.468,0.971,-4.195,0.224,0.000116,7.84e-05,0.46,0.511,102.95,268240,['ChrisJericho'],[],[],[],Medium,Low,Low,Medium,Medium,Medium,3.0,2.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
John Butler Trio,Daniella,['JohnButler'],['Acoustic Guitar (steel)'],33,2007,0.636,0.755,-5.217,0.116,0.193,0.00188,0.194,0.964,160.108,255667,['NickyBomba'],[],[],[],Low,Low,Low,Medium,Medium,Medium,2.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
John Butler Trio,What You Want,['JohnButler'],"['Overdriven Guitar', 'john butler ampliefied 11 string guitare']",33,2004,0.367,0.71,-7.454,0.0311,0.0625,0.294,0.1,0.242,154.351,320947,['NickyBomba'],[],[],[],Low,Low,Low,High,Medium,Medium,1.0,3.0,0.0,"['drums_Advanced', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
John Butler Trio,Sista,['John Butler'],['Acoustic Guitar (steel)'],27,2021,0.463,0.866,-3.441,0.0422,0.0566,1.13e-06,0.0961,0.432,131.649,196027,['NickyBomba'],[],[],[],Medium,Low,Medium,Low,Medium,Medium,5.0,7.0,0.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
John Butler Trio,Funky Tonight,['Piste 1'],['Acoustic Guitar (steel)'],34,2007,0.569,0.861,-6.227,0.0301,0.0968,0.0204,0.262,0.797,144.037,326240,['NickyBomba'],[],[],[],Low,Low,Low,Low,Low,Medium,0.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
Used To Be,X,['Johnny 2'],['Distortion Guitar'],0,2022,0.149,0.866,-3.764,0.144,0.0432,0.913,0.126,0.456,175.059,234949,,,,,Low,Low,Low,Low,Low,Medium,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
John Butler Trio,Seeing Angels,['JohnButler'],['Acoustic Guitar (steel) 2'],22,2005,0.532,0.497,-7.909,0.0308,0.0788,0.03,0.512,0.387,111.932,373733,['NickyBomba'],[],[],[],Low,Low,Low,Medium,Medium,Medium,4.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
John Butler Trio,Ocean Live,['JohnButler'],"['Acoustic Guitar (steel)', 'Guitare']",35,2011,0.235,0.521,-6.663,0.0301,0.529,0.935,0.59,0.112,99.959,726960,['NickyBomba'],[],[],[],Low,Low,Low,Medium,Medium,Low,1.0,0.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Dougie Maclean,Ye Banks And Braes,,"['Acoustic Guitar (steel)', 'Steel Guitar']",2,2021,0.486,0.205,-14.544,0.0288,0.795,2.93e-05,0.11,0.415,97.414,265973,,,,,Low,Low,Low,Medium,Low,Medium,0.0,0.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Beginner', 'bass_Intermidiate']"
Bruce Cockburn,Foxglove,,['Acoustic Guitar (steel)'],39,2005,0.487,0.324,-15.577,0.0303,0.814,0.361,0.0846,0.409,89.559,87200,,,,,Low,Low,Low,Low,Low,Medium,0.0,0.0,2.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
John Butler Trio,Home Is Where The Heart Is,['JohnButler'],"['Acoustic Guitar (steel)', '12 string guuitar']",23,2001,0.522,0.662,-6.894,0.0318,0.401,0.00139,0.159,0.736,113.161,186053,['NickyBomba'],[],[],[],Medium,Low,Low,Low,Medium,Medium,6.0,3.0,1.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
John Butler Trio,Pickapart,['Acoustic 12'],['Acoustic Guitar (steel)'],36,2000,0.62,0.769,-6.663,0.0343,0.049,0.0172,0.499,0.492,121.17,179667,['NickyBomba'],[],[],[],Medium,Low,Low,Medium,Low,Medium,5.0,3.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Beginner', 'bass_Intermidiate']"
John Butler,Ocean,,['Acoustic Guitar (steel)'],49,2016,0.282,0.499,-7.969,0.0292,0.273,0.908,0.153,0.279,95.95,699261,,,,,Low,Low,Low,Low,Medium,Medium,4.0,3.0,4.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
Laurence Juber,Feet On My Back Again,['Traccia 1'],['Acoustic Guitar (nylon)'],0,2002,0.799,0.269,-16.039,0.0597,0.809,0.886,0.0946,0.662,129.941,138120,,,,,Low,Low,Low,Medium,Medium,Low,2.0,3.0,1.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Beginner']"
Mumford And Sons,Roll Away Your Stone,['Marcus'],['Acoustic Guitar (steel)'],48,2009,0.436,0.548,-9.174,0.0474,0.06,3.64e-05,0.0903,0.189,137.294,263920,['MarcusMumford'],['TedDwane'],['BenLovett'],[],Low,Low,Low,Medium,Medium,Medium,3.0,1.0,2.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Rik Emmett,Buggy Ride,['Rik Emmett'],['Acoustic Guitar (nylon)'],6,1997,0.589,0.315,-13.97,0.0347,0.855,0.844,0.126,0.334,91.13,208327,,,,,Low,Low,Low,Low,High,Medium,1.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Ewan Dobson,Time 2,['Spår 1'],['Acoustic Guitar (steel)'],36,2010,0.69,0.657,-13.242,0.0515,0.868,0.941,0.112,0.777,146.865,193827,,,,,Low,Low,Low,High,High,Medium,0.0,4.0,1.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Intermidiate']"
Whitesnake,Ain't Gonna Cry No More,['RebBeach'],"['Acoustic Guitar (steel)', 'Guitarra']",14,1980,0.353,0.809,-5.053,0.0379,0.0832,8.76e-06,0.171,0.447,91.497,349947,['DavidCoverdale'],['TommyAldridge'],[],[],Low,Low,Low,Low,Medium,Medium,3.0,1.0,2.0,"['drums_Beginner', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Ewan Dobson,Donkey Kong Expansion Pack,,['Acoustic Guitar (steel)'],3,2012,0.523,0.422,-8.793,0.0768,0.706,0.793,0.0985,0.635,136.364,392000,,,,,Low,Low,Low,Medium,Medium,High,0.0,1.0,0.0,"['drums_Intermidiate', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Kings Of Leon,Use Somebody,['MatthewFollowill'],['Acoustic Guitar (steel)'],76,2008,0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,230760,['CalebFollowill'],['JaredFollowill'],['NathanFollowill'],[],Medium,Low,Low,Medium,Medium,Medium,7.0,4.0,0.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Devin Townsend,Terminal,,"['Electric Guitar (jazz)', 'Guitar 2']",23,2009,0.565,0.437,-16.169,0.0294,0.452,0.909,0.135,0.165,123.991,418173,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,6.0,1.0,"['drums_Intermidiate', 'guitar_Beginner', 'piano_Intermidiate', 'bass_Intermidiate']"
Ewan Dobson,Happy Hardcore,,['Acoustic Guitar (steel)'],12,2009,0.499,0.552,-12.396,0.0593,0.496,0.772,0.106,0.847,161.361,204267,,,,,Low,Low,Low,High,High,High,0.0,5.0,1.0,"['drums_Advanced', 'guitar_Intermediate', 'piano_Advanced', 'bass_Advanced']"
Ewan Dobson,Blood And Ice,,['Acoustic Guitar (steel)'],13,2009,0.353,0.517,-12.733,0.041,0.624,0.932,0.136,0.114,88.554,561667,,,,,Low,Low,Low,Medium,Medium,Medium,2.0,3.0,3.0,"['drums_Intermidiate', 'guitar_Advanced', 'piano_Intermidiate', 'bass_Intermidiate']"
Ewan Dobson,Machinery,,['Acoustic Guitar (steel)'],7,2012,0.578,0.473,-8.835,0.116,0.608,0.825,0.103,0.724,163.771,164000,,,,,Low,Low,Low,Low,Medium,High,3.0,0.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Advanced']"
Billy The Kid,Chocolate Sexual,['Pista 2'],['Overdriven Guitar'],18,2008,0.316,0.98,-3.669,0.0894,0.000508,1.34e-06,0.197,0.204,94.978,207183,,,,,Low,Low,Low,Low,Medium,Medium,3.0,1.0,0.0,"['drums_Beginner', 'guitar_Intermediate', 'piano_Intermidiate', 'bass_Intermidiate']"
