Band,Song,Player,Technique,Difficulty,Score
Ghost B.C.,Dance Macabre,A Nameless Ghoul Right,['Distortion Guitar'],Beginner,1/8
Metallica,Leper Messiah,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,3/8
Metallica,To Live Is To Die,nan,['Acoustic Guitar (nylon)'],Beginner,2/8
Tame Impala,The Less I Know The Better,nan,"['Overdriven Guitar', 'Electric Guitar']",Beginner,2/8
Iron Maiden,Powerslave,Dave Murray,['Distortion Guitar'],Intermediate,3/8
Metallica,"Atlas, Rise!",nan,"['Distortion Guitar', 'James Hetfield (Rhythm Guitar)']",Intermediate,3/8
Metallica,Spit Out The Bone,nan,['Distortion Guitar'],Intermediate,4/8
Nirvana,The Man Who Sold The World,nan,"['Distortion Guitar', 'Guitar w/disto']",Beginner,2/8
Alice in Chains,Rooster,Gtr.2 (Dist.),['Distortion Guitar'],Beginner,2/8
Pantera,Cemetery Gates,Dimebag Darrell (Rhythm),['Distortion Guitar'],Intermediate,3/8
Deep Purple,Black Night,Blackmore,['Overdriven Guitar'],Intermediate,3/8
Metallica,Fight Fire With Fire,Kirk Hammett,['Distortion Guitar 1'],Intermediate,4/8
Nirvana,Breed,nan,"['Distortion Guitar', 'Kurt Cobain (Guitar)']",Intermediate,3/8
Megadeth,Wake Up Dead,Dave Mustaine,['Distortion Guitar'],Intermediate,5/8
Arctic Monkeys,Why'd You Only Call Me When You're High,nan,"['Electric Guitar (clean)', 'Alex Turner (Guitar One)']",Beginner,1/8
Linkin Park,Given Up,Brad Delson + Mike Shinoda,['Distortion Guitar'],Beginner,2/8
Megadeth,Angry Again,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
Smashing Pumpkins,Cherub Rock,James Iha,"['Lead Guitar', 'Distortion Guitar']",Beginner,2/8
Burzum,Dunkelheit,nan,"['Distortion Guitar', 'Right Guitar']",Beginner,2/8
Boston,More Than A Feeling,Tom Scholz (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8
Bullet For My Valentine,Hand Of Blood,Matt,['Distortion Guitar'],Intermediate,3/8
The Strokes,Reptilia,Nick Valensi,['Overdriven Guitar'],Intermediate,3/8
Metallica,Eye Of The Beholder,nan,"['Distortion Guitar', 'James Hetfield (Rhythm Guitar)']",Intermediate,3/8
Whitesnake,Still Of The Night,John Sykes (Lead),['Distortion Guitar'],Intermediate,3/8
AC/DC,Shoot To Thrill,Angus Young,['Distortion Guitar'],Beginner,2/8
Pantera,5 Minutes Alone,Dime,"['Guitar', 'Distortion Guitar']",Intermediate,3/8
Rush,Tom Sawyer,nan,"['Distortion Guitar', 'Lead Guitar-Lifeson']",Intermediate,3/8
Rush,Yyz,Alex Lifeson,"['Lead Guitar', 'Distortion Guitar']",Advanced,6/8
Metallica,Hit The Lights,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
Led Zeppelin,Over The Hills And Far Away,Jimmy Page,"['Guitar 1', 'Acoustic Guitar (steel)']",Intermediate,3/8
Metallica,The Thing That Should Not Be,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,3/8
Heart,Barracuda,nan,"['Overdriven Guitar', 'Lead Guitar']",Intermediate,3/8
Mastodon,Blood And Thunder,nan,"['Distortion Guitar', 'Guitar Lead']",Intermediate,4/8
Queens Of The Stone Age,No One Knows,Josh Homme (Clean),['Electric Guitar (clean)'],Beginner,2/8
Metallica,Moth Into Flame,Kirk Hammett (Lead),['Distortion Guitar'],Intermediate,3/8
Bullet For My Valentine,Tears Don't Fall,Michael Paget,['Electric Guitar (clean)'],Intermediate,4/8
K-On!!,Fuwa Fuwa Time,nan,"['Distortion Guitar', 'Guitar: Yui Hirasawa']",Beginner,2/8
The Smiths,This Charming Man,Johnny Marr|Lead 1,['Electric Guitar (clean)'],Intermediate,3/8
Jinjer,Pisces,nan,"['Electric Guitar (clean)', 'Clean Guitar']",Beginner,2/8
Metallica,No Remorse,James Hetfield,['Distortion Guitar'],Intermediate,3/8
Black Sabbath,N.I.B.,nan,"['Distortion Guitar', 'Guitarra']",Intermediate,3/8
Nirvana,Drain You,Kurt Cobain,['Distortion Guitar'],Beginner,1/8
Shingeki No Kyojin,Guren No Yumiya,nan,"['Distortion Guitar 1', 'Electric Guitar']",Beginner,2/8
Megadeth,Conquer Or Die,Kiko Loureiro,['Acoustic Guitar (nylon)'],Intermediate,5/8
Rammstein,"Links 2,3,4",Richard,['Distortion Guitar'],Beginner,2/8
Ed Sheeran,Perfect,nan,"['Acoustic Guitar (steel)', 'Steel Guitar']",Intermediate,4/8
Tool,Forty Six & 2,nan,"['Overdriven Guitar', 'Electric Guitar']",Intermediate,3/8
Guns N' Roses,Patience,Slash,['Acoustic Guitar (steel)'],Intermediate,3/8
Samurai (Cyberpunk 2077),Never Fade Away,Johny Silverhand,['Distortion Guitar'],Beginner,2/8
Tool,Vicarious,nan,['Distortion Guitar'],Intermediate,3/8
Children Of Bodom,Children Of Bodom,Alexi Laiho,['Distortion Guitar'],Intermediate,5/8
Deep Purple,Burn,nan,"['Distortion Guitar', 'Rhythm Guitar (Blackmore)']",Intermediate,3/8
Bring Me The Horizon,Can You Feel My Heart,L,['Distortion Guitar'],Beginner,1/8
Attack On Titan,Vogel Im Käfig,Melody,['Acoustic Guitar (steel)'],Beginner,2/8
Black Sabbath,NIB,nan,"['Guitar (Left)', 'Distortion Guitar']",Intermediate,3/8
Fleetwood Mac,The Chain,Lindsey Buckingham,"['Guitar', 'Electric Guitar (clean)']",Intermediate,3/8
ZZ Top,La Grange,nan,"['Electric Guitar (jazz)', 'Guitar 1']",Beginner,2/8
Foo Fighters,The Pretender,nan,"['Distortion Guitar', 'Dave Grohl (Rhythm Guitar)']",Beginner,2/8
Vulfpeck,Dean Town,nan,"['Electric Guitar (clean)', 'Guitar (Theo)']",Intermediate,3/8
Dio,Holy Diver,Vivian Campbell,"['Rhythm Guitar (Left)', 'Distortion Guitar']",Beginner,2/8
Metallica,"Damage, Inc",nan,['Distortion Guitar'],Intermediate,4/8
Pink Floyd,Wish You Were Here,David Gilmour,['Acoustic Guitar (steel)'],Beginner,2/8
Green Day,Boulevard Of Broken Dreams,Billie Joe Amrstrong,['Acoustic Guitar (steel)'],Intermediate,3/8
Metallica,The Unforgiven II,James Hetfield (Clean),['Electric Guitar (clean)'],Intermediate,3/8
Pink Floyd,Another Brick In The Wall,David Gilmour,"['Rhythm Guitar (Left)', 'Electric Guitar (clean)']",Beginner,2/8
Death,Flesh And The Power It Holds,Chuck Schuldiner,['Distortion Guitar'],Intermediate,4/8
Avenged Sevenfold,Hail To The King,Rhythm [Zacky Vengeance,['Distortion Guitar'],Intermediate,3/8
Muse,Knights Of Cydonia,Lead,['Distortion Guitar'],Intermediate,3/8
Franz Ferdinand,Take Me Out,Nick McCarthy,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8
Guns N' Roses,Nightrain,nan,"['Distortion Guitar', 'Guitar 1 (Slash)']",Intermediate,4/8
Megadeth,Trust,Dave Mustaine,['Distortion Guitar'],Beginner,2/8
Metallica,Whiskey In The Jar,nan,"['Distortion Guitar', 'Lead Guitar 2']",Intermediate,3/8
Cyberpunk 2077,Kerry's Song,nan,['Electric Guitar (jazz)'],Intermediate,3/8
Deep Purple,Smoke On The Water,Ritchie Blackmore,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
The Beatles,Come Together,George Harrison,"['Backing Guitar', 'Overdriven Guitar']",Beginner,2/8
Arctic Monkeys,Fluorescent Adolescent,Jamie Cook,"['Lead Guitar', 'Overdriven Guitar']",Beginner,1/8
Rage Against The Machine,Know Your Enemy,nan,"['Overdriven Guitar', 'Guitare 2']",Intermediate,3/8
The White Stripes,Seven Nation Army,nan,"['Distortion Guitar', 'Jack White (Rhythm Guitar)']",Beginner,2/8
Iron Maiden,Aces High,Adrian Smith,['Distortion Guitar'],Intermediate,4/8
All Time Low,"Dear Maria, Count Me In",Jack,['Distortion Guitar'],Beginner,2/8
Joy Division,Disorder,Bernard Sumner,"['Guitar', 'Overdriven Guitar']",Beginner,2/8
Metallica,The God That Failed,James Hetfield,"['Rhythm Guitar', 'Distortion Guitar']",Intermediate,3/8
My Chemical Romance,Na Na Na,Ray Toro,['Distortion Guitar'],Beginner,2/8
Oasis,Don't Look Back In Anger,Noel Gallagher,['Distortion Guitar'],Intermediate,3/8
Samurai,Chippin'in,Rhythm,['Distortion Guitar'],Beginner,2/8
Carcass,Heartwork,Michael Amott,['Distortion Guitar'],Intermediate,3/8
Type O Negative,Christian Woman,Kenny,"['Guitar 2', 'Distortion Guitar']",Intermediate,3/8
Entombed,Left Hand Path,nan,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8
Darth Flex Fear,My New Song,Track 4,['Distortion Guitar'],Intermediate,3/8
Degeneration Vaginal Transmutation,Divine Enzyme,nan,['Distortion Guitar'],Intermediate,3/8
Eloveena,Kaava,Eetu,['Distortion Guitar'],Intermediate,3/8
Paul Gilbert,Kate Is A Star,Paul 2,['Acoustic Guitar (nylon)'],Beginner,2/8
Gorstomok,Backstein In Die Kinderfresse,O-Man,['Distortion Guitar 2'],Intermediate,3/8
Gorstomok,Der Rehmann,O-Man,['Distortion Guitar 2'],Intermediate,3/8
Gorstomok,Tod Und Verderben,O-Man,['Distortion Guitar 2'],Advanced,8/8
Gorstomok,Siofuck,Oger am Strand,['Acoustic Guitar (nylon)'],Intermediate,3/8
Heavy Competition 10,Written Kismet,Lead 1,['Distortion Guitar'],Advanced,6/8
HIM,Gone With The Sin,nan,['Overdriven Guitar'],Beginner,1/8
Rot Jungle,Red Skies,Dave Matrise,['Distortion Guitar'],Intermediate,3/8
Rot Jungle,Psychotric Cremation,Jim Bell,['Overdriven Guitar'],Intermediate,3/8
MSB Competition November 2004,Flight Of The Elephant,nan,['Distortion Guitar'],Intermediate,4/8
Alejandro Silva,Free Fall,pitch,['Distortion Guitar'],Beginner,1/8
Alejandro Silva,Omega,pitch,['Distortion Guitar'],Intermediate,4/8
Violent Dreams,Alexandros,William,['Distortion Guitar'],Intermediate,3/8
Antipig,Carcass ,nan,['Distortion Guitar 2'],Intermediate,3/8
Brou,Bakterion,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
Ivan Arnaud Garza,Burning Earth,Pista 4,['Overdriven Guitar'],Intermediate,3/8
Rotten Bitch,Conspiracy For The Eternal War,Track:,"['Guitar 2', '- Distortion Guitar']",Intermediate,4/8
The Damm Festival,Mass Mutilation,Track:,"['Guitar 1', '- Distortion Guitar']",Intermediate,5/8
Antipig,The Absolute Terrorist,nan,"['Distortion Guitar', 'Guitar II']",Intermediate,4/8
Antipig,I'm The Pig,nan,['Distortion Guitar 1'],Intermediate,3/8
Degeneration Vaginal Transmutation,Guts Her,nan,"['Distortion Guitar', 'Guitar ']",Intermediate,3/8
Degeneration Vaginal Transmutation,Vaginal D.P.,nan,"['Distortion Guitar', 'Guitar ']",Intermediate,4/8
Degeneration Vaginal Transmutation,Angel Deflorater,nan,['Distortion Guitar'],Intermediate,3/8
Degeneration Vaginal Transmutation,D.P.,nan,"['Distortion Guitar', 'Guitar ']",Intermediate,4/8
Evanescence,Taking Over Me,nan,"['Distortion Guitar', 'Guitar (Ben Moody)']",Beginner,2/8
Rickard Redgard,The Heavy One,Spår 2,['Distortion Guitar'],Intermediate,3/8
Van Halen,Fire In The Hole,nan,"['Distortion Guitar', 'Guitar 1 (/w Trans Trem -2.5)']",Intermediate,3/8
HIM,Venus Doom,Lead,['Electric Guitar (clean)'],Beginner,2/8
Buckethead,Baseball Furies,Buckethead,['Distortion Guitar'],Beginner,2/8
Dave Matthews Band,Space Between,Baritone Gtr. 1,['Electric Guitar (clean)'],Beginner,1/8
Depresszio,Utaz,Nimrod,['Distortion Guitar'],Intermediate,3/8
Depresszio,Vred,nan,"['Distortion Guitar', 'Back Guitar (Hartmann Ádám)']",Advanced,8/8
Depresszio,Kezdjük El!,Hartmann Ádám (Nimrod),['Distortion Guitar'],Intermediate,3/8
HIM,Death Is In Love With Us,Linde,['Distortion Guitar'],Beginner,2/8
HIM,Cyanide Sun,Lead,['Distortion Guitar'],Intermediate,3/8
HIM,Heartless,nan,"['Distortion Guitar', 'Lily Lazer (Guitar)']",Intermediate,3/8
HIM,Serpent Ride,Rhythm,['Distortion Guitar'],Intermediate,3/8
HIM,Heaven Tonight,nan,"['Distortion Guitar 2', 'Lily Lazer (Guitar)']",Beginner,1/8
HIM,The Beginning Of The End,nan,"['Distortion Guitar', 'Lily Lazer (Guitar)']",Beginner,1/8
John 5,First Victim,nan,"['Distortion Guitar', 'Guitar II (with Violin Bow)']",Intermediate,3/8
Andy Martin,Another Tragedy,nan,"['Distortion Guitar', 'Backing Guitar']",Intermediate,3/8
Metal721,Og 1,Track 3,['Overdriven Guitar'],Intermediate,3/8
MUCC,Kuchiki No Tou First,nan,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
No Mans Land,Menace Of Order,Overdubs,['Distortion Guitar'],Intermediate,3/8
Oomph!,Das Letzte Streichholz,Pista 4,['Distortion Guitar'],Beginner,2/8
Oomph!,Brennende Liebe,Pista 7,['Distortion Guitar'],Intermediate,3/8
Oomph!,Fieber,Pista 8,['Distortion Guitar'],Intermediate,3/8
Oomph!,Ich Will Deine Seele,nan,"['Distortion Guitar', 'Ryhtm guitar']",Beginner,1/8
Oomph!,My Darkest Cave,nan,"['Overdriven Guitar', 'Guitar 2']",Intermediate,3/8
Oomph!,Die Schlinge,nan,"['Overdriven Guitar', 'Lead Guitar']",Beginner,1/8
Timo Kotipelto,Around,Track 4,['Distortion Guitar'],Intermediate,3/8
Depresszio,Aki Érdekel,Ádám,['Distortion Guitar'],Beginner,2/8
Brian Head,Adonai,Track 2,['Distortion Guitar'],Intermediate,3/8
Brand New,Be Gone,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Bloody Diarrhoea,Vaga-Bond-Age,Frante,['Distortion Guitar'],Intermediate,3/8
Dave Matthews Band,Stay Or Leave,nan,['Acoustic Guitar (steel) 2'],Intermediate,4/8
Doom Vs,Threnode,Clean 1,['Electric Guitar (clean)'],Beginner,1/8
Fresh Body Shop,Angry Machine,nan,"['Overdriven Guitar', 'R Guitar']",Intermediate,3/8
Leng Tche,1-800-Apathy,Track 2,['Distortion Guitar'],Intermediate,3/8
Chainsaw Fisting,Cockvomit,Track 2,['Distortion Guitar'],Intermediate,5/8
Chainsaw Fisting,Eternal Hunt,nan,['Distortion Guitar'],Intermediate,4/8
Rompeprop,Foreskin Fart,Dirty Dr Dente,['Distortion Guitar'],Beginner,2/8
Rompeprop,Pikzwarteflikkerkak,nan,['Distortion Guitar'],Beginner,2/8
Rompeprop,Vaginal Luftwaffe,nan,['Distortion Guitar'],Beginner,2/8
Rompeprop,The Erected Underwater Necro Clitstomper,Track 3,['Distortion Guitar'],Intermediate,3/8
Revolting,Rise Of The Revolter,Lead,['Distortion Guitar'],Intermediate,3/8
Smes,Senor Rita,nan,['Distortion Guitar'],Intermediate,3/8
Road,Nem Rólunk Szól Nem Teljes!!,Ritmus,['Distortion Guitar'],Intermediate,3/8
Vulgaroyal Bloodhill,Diarrea Emocional,Tagawa,['Distortion Guitar'],Beginner,2/8
Cavalera Conspiraci,Killing Inside,Marc Rizzo,['Distortion Guitar'],Intermediate,3/8
P.A.I.S.,Convalescence,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
456666,12,Сируша,['Distortion Guitar'],Intermediate,5/8
Tantalus Spine,Death Blender By Dustin He,Dustin He,['Distortion Guitar'],Intermediate,4/8
Aerosmith,Girls Of Summer,nan,"['Electric Guitar (clean)', 'Baritone Guitar w/Tremolo']",Beginner,2/8
Restart,Gosto De Dar A Bunda,Pista 1,['Distortion Guitar'],Intermediate,4/8
Soilwork,Bastard Chain,Spår 3,['Distortion Guitar'],Intermediate,5/8
Equilibrium,Mana,Rythm,['Overdriven Guitar'],Beginner,1/8
Kingdom Of Sorrow,God's Law In The Devils Land,Track 2,['Distortion Guitar'],Intermediate,3/8
Black Widow Of La Porte,Black Widow Of La Porte,B Standard Tuning Distortion,['Distortion Guitar'],Intermediate,3/8
Horizon 8,Exiled/Denied,Дима,['Distortion Guitar'],Intermediate,3/8
Pig Destroyer,Gravedancer,nan,['Overdriven Guitar'],Intermediate,3/8
№12,38,Pista 1,['Distortion Guitar'],Intermediate,3/8
№12,34,Pista 2,['Distortion Guitar'],Intermediate,5/8
Undead Corporation,Ready To Take Off,Sáv 2,['Overdriven Guitar'],Intermediate,4/8
Vesication,Whorange Goblin,Track 3,['Overdriven Guitar'],Intermediate,3/8
Vesication,Male Lactate,nan,['Distortion Guitar'],Intermediate,3/8
Vesication,Bitch Pisser,nan,['Overdriven Guitar'],Intermediate,4/8
Vesication,Rectal Fissures,nan,['Overdriven Guitar 1'],Intermediate,3/8
Pizuya's Cell x Myonmyon,Steel Of Scarlet,トラック 1,['Overdriven Guitar'],Beginner,2/8
Celtic Frost,Synagoga Satanae,nan,"['Distortion Guitar', 'Lead Guitar']",Beginner,2/8
Cryptopsy,Abigor,Gtr. 1,['Distortion Guitar'],Intermediate,5/8
Eluveitie,Alesia,nan,"['Overdriven Guitar', 'Guitar I']",Beginner,2/8
Eluveitie,Your Gaulish War,Ivo Henzi,['Distortion Guitar'],Intermediate,3/8
Depresszio,Te Vagy A Szerem,Ádám,['Distortion Guitar'],Intermediate,3/8
Cryptopsy,Mutant Christ,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
Hypocrisy,A Coming Race Ver 2,nan,"['Distortion Guitar', 'Guitare 3']",Intermediate,3/8
Cryptopsy,Cold Hate Warm Blood,Jon,['Overdriven Guitar'],Intermediate,5/8
Mntns,The Cult Of The Great Wheel,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
Cryptopsy,Slit Your Guts,nan,['Distortion Guitar'],Intermediate,5/8
Soilwork,20 More Miles,Rhythm Guiter,['Distortion Guitar'],Intermediate,4/8
Cephalic Carnage,Global Overhaul Device,Track 3,['Distortion Guitar'],Intermediate,3/8
At The Gates,With Fear I Kiss The Burning Darkness,Left,['Distortion Guitar'],Intermediate,5/8
Spawn Of Possession,Bodiless Sleeper,Jonas Bryssling,['Distortion Guitar'],Advanced,6/8
Cryptopsy,Emaciate,nan,['Distortion Guitar'],Intermediate,5/8
Fleshgod Apocalypse,Requiem In Si Minore,nan,['Distortion Guitar 2'],Beginner,2/8
Stefano Lombardi,Shadows Of The Black Horses,nan,['Distortion Guitar'],Intermediate,4/8
Stefano Lombardi,Mount Doom,nan,['Distortion Guitar'],Intermediate,3/8
Highways,Idk,Track 2,['Distortion Guitar'],Intermediate,3/8
Los Redondonditos De Ricota,El Pibe Del Los Astilleros,Max Cavalera,['Distortion Guitar'],Intermediate,3/8
Veil Of Maya,We Bow In Its Aura Better Version,marc okubo,"['guitar lead', 'Acoustic Guitar (steel)']",Intermediate,3/8
Blut Aus Nord,Epitome Xvi,nan,"['Electric Guitar (jazz)', 'Guitar 1']",Intermediate,3/8
Arise And Ruin,Bound By Blood,nan,['Distortion Guitar'],Intermediate,5/8
Back Door Asylum,Embrace The Pain,nan,['Distortion Guitar'],Advanced,7/8
Sungha Jung,Gravity,nan,['Acoustic Guitar (steel)'],Intermediate,5/8
Gazette,Derangement,nan,"['Overdriven Guitar', 'Guitar 2']",Intermediate,4/8
Eluveitie,The Essence Of Ashes,nan,['Distortion Guitar'],Intermediate,4/8
Kambodge,Иней,nan,['Distortion Guitar'],Intermediate,4/8
Amon Amarth,With Oden On Our Side Ver2,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,4/8
Exhumed,Decrepit Crescendo,Matt Harvey,['Overdriven Guitar'],Intermediate,5/8
Carcass,Exhume To Consume,nan,"['Distortion Guitar', 'Bill Steer (Guitar 3)']",Intermediate,3/8
Aborted,Dead Wreckoning,ceru,['Distortion Guitar'],Intermediate,5/8
Stefano Lombardi,When The Sun Caresses The Horizon,Chitarra 1,['Distortion Guitar'],Intermediate,3/8
12,23,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,3/8
Edge Of Sanity,Sacrificed,nan,"['Distortion Guitar', 'Center Guitar']",Beginner,1/8
Amon Amarth,Father Of The Wolf,nan,"['Distortion Guitar', 'Guitar I']",Intermediate,3/8
Indepth,Pain For Live,Track 2,['Distortion Guitar'],Intermediate,3/8
Dismember,Hate Campaign,nan,"['Distortion Guitar', 'Lead Guitar (David Blomqvist)']",Intermediate,4/8
Depresszio,Annyi Ev Után,Sáv 1,['Distortion Guitar'],Intermediate,3/8
Sungha Jung,Fight,nan,['Acoustic Guitar (steel)'],Intermediate,4/8
Five Finger Death Punch,Crossing Over,nan,['Electric Guitar (clean)'],Beginner,1/8
Five Finger Death Punch,Burn Mf,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Five Finger Death Punch,M.I.N.E,nan,"['Distortion Guitar', 'Electric Guitar']",Beginner,2/8
Disconformity,Atonic Epilepsy,トラック 2,['Distortion Guitar'],Intermediate,3/8
Five Finger Death Punch,You,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Five Finger Death Punch,Battle Born,nan,"['Distortion Guitar', 'Electric Guitar Distortion']",Beginner,2/8
Five Finger Death Punch,War Is The Answer,nan,"['Distortion Guitar', 'Electric Guitar']",Intermediate,3/8
Five Finger Death Punch,The Bleeding,Zoltan Bathory,['Distortion Guitar'],Beginner,2/8
Five Finger Death Punch,Canto 34,nan,"['Distortion Guitar', 'Zoltan Bathory (Solo Guitar 2)']",Intermediate,5/8
Soulfly,Plata O Plomo,Lead 1,['Distortion Guitar'],Intermediate,3/8
Five Finger Death Punch,If I Fall,nan,"['Acoustic Guitar (steel) 1', '12 St. Steel Guitar']",Intermediate,3/8
Five Finger Death Punch,Here To Die,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Five Finger Death Punch,The Pride,nan,"['Distortion Guitar 3', 'Electric Guitar']",Intermediate,3/8
Black Label Society,13 Years Of Grief,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Amon Amarth,Risen From The Sea,nan,['Distortion Guitar'],Intermediate,4/8
Spawn Of Possession,A Presence Inexplicable,nan,"['Distortion Guitar', 'Guitar 1']",Advanced,6/8
Carcass,1985,nan,"['Distortion Guitar', 'Guitar 1']",Beginner,1/8
Kataklysm,Embracing Europa,nan,"['Distortion Guitar', 'Guitar 1']",Intermediate,5/8
Wormed,The Nonlocality Trilemma,nan,['Distortion Guitar'],Intermediate,4/8
Bloodbath,Ways To The Grave,nan,"['Distortion Guitar', 'Lead Guitar']",Intermediate,3/8
Regain The Legacy,Dislocation,nan,"['Distortion Guitar', 'Guitar 3']",Intermediate,4/8
Amon Amarth,Blood Eagle,nan,"['Distortion Guitar', 'Additional Guitar']",Intermediate,4/8
Amon Amarth,Under Siege,nan,"['Acoustic Guitar (steel)', 'Additional Electric Guitar']",Beginner,1/8
Black Sabbath,Zero The Hero,Effects,['Distortion Guitar'],Beginner,1/8
Curriculum,Prequel Iv,nan,"['Distortion Guitar', 'Rhythm Guitar']",Intermediate,3/8
Shadowed Wood,Embracing The Heretic,Rhythm,['Distortion Guitar'],Intermediate,4/8
Stefano Lombardi,Around The Middle Earth,Track 3,['Distortion Guitar'],Intermediate,3/8
Whitechapel,Hate Creation,nan,"['Distortion Guitar 1', 'Electric Guitar']",Intermediate,4/8
Spawn Of Possession,The Evangelist,Outro 2,['Distortion Guitar'],Intermediate,3/8
Kataklysm,Numb & Intoxicated,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
Amon Amarth,Releasing Surtur's Fire,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
Amon Amarth,Valhall Awaits Me,Olavi Mikkonen,['Distortion Guitar'],Intermediate,4/8
Benighted,Iscarioth,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,4/8
Kataklysm,At The Edge Of The World,nan,"['Distortion Guitar', 'Guitar 2']",Intermediate,3/8
